subject,experiment,session,localization,montage,list,pcs
R1001P,FR1,0,0,0,3,0.8181818181818181
R1001P,FR1,0,0,0,8,0.35454545454545455
R1001P,FR1,0,0,0,14,0.1334175084175084
R1001P,FR1,0,0,0,15,-0.14646464646464646
R1001P,FR1,0,0,0,16,-0.09090909090909091
R1001P,FR1,0,0,0,18,0.6363636363636364
R1001P,FR1,0,0,0,19,-0.18181818181818182
R1001P,FR1,0,0,0,20,-0.09090909090909091
R1001P,FR1,0,0,0,21,-0.18181818181818182
R1001P,FR1,0,0,0,22,-0.09090909090909091
R1001P,FR1,0,0,0,23,-0.2727272727272727
R1001P,FR1,0,0,0,25,-0.09090909090909091
R1001P,FR1,1,0,1,1,-0.09090909090909091
R1001P,FR1,1,0,1,2,-0.22794612794612798
R1001P,FR1,1,0,1,5,-0.09090909090909091
R1001P,FR1,1,0,1,6,-0.21123737373737372
R1001P,FR1,1,0,1,7,0.7777777777777778
R1001P,FR1,1,0,1,12,-0.18181818181818182
R1001P,FR1,1,0,1,13,-0.09090909090909091
R1001P,FR1,1,0,1,14,-0.10101010101010101
R1001P,FR1,1,0,1,16,-0.18181818181818182
R1001P,FR1,1,0,1,17,-0.18181818181818182
R1001P,FR1,1,0,1,18,0.3090909090909091
R1001P,FR1,1,0,1,19,-0.2727272727272727
R1001P,FR1,1,0,1,21,0.8181818181818181
R1001P,FR1,1,0,1,23,-0.14545454545454545
R1002P,FR1,0,0,0,1,-0.2612794612794613
R1002P,FR1,0,0,0,2,-0.037436868686868685
R1002P,FR1,0,0,0,3,-0.16578282828282828
R1002P,FR1,0,0,0,4,0.0851010101010101
R1002P,FR1,0,0,0,5,0.1182449494949495
R1002P,FR1,0,0,0,6,0.21250000000000002
R1002P,FR1,0,0,0,7,0.061616161616161645
R1002P,FR1,0,0,0,8,-0.17634680134680134
R1002P,FR1,0,0,0,9,-0.2
R1002P,FR1,0,0,0,10,-0.23737373737373738
R1002P,FR1,0,0,0,11,0.75
R1002P,FR1,0,0,0,12,-0.17104377104377103
R1002P,FR1,0,0,0,13,-0.10555555555555556
R1002P,FR1,0,0,0,14,-0.2125
R1002P,FR1,0,0,0,15,-0.09090909090909091
R1002P,FR1,0,0,0,16,-0.1053030303030303
R1002P,FR1,0,0,0,17,0.043080808080808074
R1002P,FR1,0,0,0,18,-0.2
R1002P,FR1,0,0,0,19,-0.16893939393939394
R1002P,FR1,0,0,0,20,-0.1
R1002P,FR1,0,0,0,21,-0.218013468013468
R1002P,FR1,0,0,0,22,0.9090909090909091
R1002P,FR1,0,0,0,23,0.9
R1002P,FR1,0,0,0,24,-0.09545454545454546
R1002P,FR1,0,0,0,25,-0.10555555555555556
R1002P,FR1,1,0,1,1,0.08639971139971139
R1002P,FR1,1,0,1,2,-0.19894179894179895
R1002P,FR1,1,0,1,3,0.297979797979798
R1002P,FR1,1,0,1,4,-0.20202020202020202
R1002P,FR1,1,0,1,5,-0.09545454545454546
R1002P,FR1,1,0,1,6,0.09046717171717172
R1002P,FR1,1,0,1,7,-0.1111111111111111
R1002P,FR1,1,0,1,8,-0.14090909090909093
R1002P,FR1,1,0,1,9,-0.2727272727272727
R1002P,FR1,1,0,1,10,-0.18181818181818182
R1002P,FR1,1,0,1,12,0.24671717171717172
R1002P,FR1,1,0,1,13,0.26363636363636367
R1002P,FR1,1,0,1,14,-0.14545454545454545
R1002P,FR1,1,0,1,15,-0.01856060606060607
R1002P,FR1,1,0,1,16,-0.29166666666666663
R1002P,FR1,1,0,1,17,-0.14019660894660896
R1002P,FR1,1,0,1,18,0.1796296296296296
R1002P,FR1,1,0,1,19,0.169023569023569
R1002P,FR1,1,0,1,20,0.40454545454545454
R1002P,FR1,1,0,1,21,-0.18181818181818182
R1002P,FR1,1,0,1,22,-0.14545454545454545
R1002P,FR1,1,0,1,23,-0.14019660894660896
R1002P,FR1,1,0,1,24,-0.27104377104377103
R1002P,FR1,1,0,1,25,-0.09090909090909091
R1003P,FR1,0,0,0,1,0.3819444444444444
R1003P,FR1,0,0,0,2,-0.10067340067340068
R1003P,FR1,0,0,0,3,-0.09090909090909091
R1003P,FR1,0,0,0,4,0.37857142857142856
R1003P,FR1,0,0,0,5,-0.2125
R1003P,FR1,0,0,0,6,0.34444444444444444
R1003P,FR1,0,0,0,7,-0.18565115440115437
R1003P,FR1,0,0,0,8,0.4037878787878788
R1003P,FR1,0,0,0,9,-0.18636363636363634
R1003P,FR1,0,0,0,11,0.18888888888888888
R1003P,FR1,0,0,0,13,-0.14646464646464646
R1003P,FR1,0,0,0,16,-0.19090909090909092
R1003P,FR1,0,0,0,18,0.13131313131313127
R1003P,FR1,0,0,0,20,-0.32727272727272727
R1003P,FR1,0,0,0,21,-0.14090909090909093
R1003P,FR1,1,0,1,1,-0.2125
R1003P,FR1,1,0,1,2,0.10606060606060605
R1003P,FR1,1,0,1,3,-0.10067340067340068
R1003P,FR1,1,0,1,4,-0.1
R1003P,FR1,1,0,1,5,-0.10101010101010101
R1003P,FR1,1,0,1,6,0.14569985569985566
R1003P,FR1,1,0,1,8,-0.18181818181818182
R1003P,FR1,1,0,1,9,-0.1625
R1003P,FR1,1,0,1,10,-0.3394209956709957
