subject,exp_type,experiment,pcs
BW001,intracranial,pyFR,0.08702805829934313
BW013,intracranial,pyFR,0.07230330304723018
BW014,intracranial,pyFR,0.07924144469016263
BW022,intracranial,pyFR,0.07032712929771753
BW023,intracranial,pyFR,-0.045014880952380945
BW024,intracranial,pyFR,-0.04841821141821141
BW025,intracranial,pyFR,0.01458363185635913
CH003,intracranial,pyFR,-0.015144339134664208
CH005,intracranial,pyFR,0.11949115770710197
CH008b,intracranial,pyFR,-0.043107744051091065
CH012,intracranial,pyFR,0.08201913155998011
CH013,intracranial,pyFR,0.009438291619423953
CH018,intracranial,pyFR,0.08403173023791066
CH040,intracranial,pyFR,0.05805481333368146
CH042,intracranial,pyFR,0.11038921442482665
CH046,intracranial,pyFR,0.09529440431143217
CH048,intracranial,pyFR,0.006652096208517694
CH058,intracranial,pyFR,0.014451535488950465
CH061,intracranial,pyFR,-0.06642965573521128
CH063,intracranial,pyFR,-0.15384615384615385
CH065,intracranial,pyFR,0.04564513264513265
CH066,intracranial,pyFR,0.10619675463425464
CH067,intracranial,pyFR,0.07243508806008804
CH068,intracranial,pyFR,0.03413925343412524
CP001,intracranial,pyFR,-0.09010656010656012
TJ001,intracranial,pyFR,0.07138402872980797
TJ003,intracranial,pyFR,-0.03542954792954793
TJ004,intracranial,pyFR,-0.133264652014652
TJ005,intracranial,pyFR,0.08867202376584943
TJ006,intracranial,pyFR,0.05021367521367521
TJ010,intracranial,pyFR,0.09591642924976258
TJ013,intracranial,pyFR,-0.012249112543230186
TJ015,intracranial,pyFR,0.08326221269769658
TJ016,intracranial,pyFR,0.09389029180695847
TJ017,intracranial,pyFR,-0.005130671797338452
TJ018,intracranial,pyFR,0.01260665260665261
TJ019,intracranial,pyFR,-0.10676168528441256
TJ020,intracranial,pyFR,0.022466589609446752
TJ021,intracranial,pyFR,-0.020703952132523556
TJ022,intracranial,pyFR,-0.02813112224214709
TJ024,intracranial,pyFR,-0.09026957764457763
TJ025,intracranial,pyFR,-0.02990088058375095
TJ027,intracranial,pyFR,-0.025870573185388004
TJ028,intracranial,pyFR,0.013125393125393124
TJ029,intracranial,pyFR,-0.02610209220845867
TJ030,intracranial,pyFR,-0.052476020711314825
TJ031,intracranial,pyFR,0.017087338405072396
TJ032,intracranial,pyFR,0.004486609048765643
TJ033,intracranial,pyFR,-0.06906288156288155
TJ034,intracranial,pyFR,0.08291273120818576
TJ035,intracranial,pyFR,-0.07052372230943658
TJ036,intracranial,pyFR,-0.05152178519645037
TJ037,intracranial,pyFR,0.010237161828070924
TJ038,intracranial,pyFR,0.0025249679095833
TJ039,intracranial,pyFR,0.010952946423915517
TJ040,intracranial,pyFR,-0.027428734459984453
TJ041,intracranial,pyFR,0.035885242600327896
TJ042,intracranial,pyFR,0.011484002109002113
TJ043,intracranial,pyFR,-0.05467934842934843
TJ044,intracranial,pyFR,0.06222441447441448
TJ045,intracranial,pyFR,0.1033352584915085
TJ047,intracranial,pyFR,-0.03309157509157509
TJ048,intracranial,pyFR,-0.0010206081796990925
TJ049,intracranial,pyFR,0.034392492428206724
TJ050,intracranial,pyFR,0.03376972564472564
TJ051,intracranial,pyFR,-0.06667915417915417
TJ052,intracranial,pyFR,-0.011795149295149299
TJ053,intracranial,pyFR,-0.11131368631368631
TJ054,intracranial,pyFR,0.005049544472621402
TJ055,intracranial,pyFR,-0.05230823098470157
TJ056,intracranial,pyFR,-0.1169039294039294
TJ057,intracranial,pyFR,0.0466294045460712
TJ058,intracranial,pyFR,0.1589192057942058
TJ059,intracranial,pyFR,-0.02544432063662833
TJ060,intracranial,pyFR,-0.02547424428765008
TJ061,intracranial,pyFR,-0.06952394827394828
TJ062,intracranial,pyFR,0.04326003745358585
TJ064,intracranial,pyFR,0.034862215079606386
TJ065,intracranial,pyFR,0.031309801309801315
TJ066,intracranial,pyFR,-0.05386791571002096
TJ068,intracranial,pyFR,-0.07202324424546647
TJ069,intracranial,pyFR,0.15262092979484285
TJ071,intracranial,pyFR,-0.17343073593073594
TJ072,intracranial,pyFR,-0.07142857142857142
TJ073,intracranial,pyFR,0.0194377542747108
TJ074,intracranial,pyFR,-0.02138619927081465
TJ075,intracranial,pyFR,0.021656676656676657
TJ077,intracranial,pyFR,0.08005160348910349
TJ078,intracranial,pyFR,-0.06822209776755231
TJ079,intracranial,pyFR,-0.1233095608095608
TJ080,intracranial,pyFR,0.0001907814407814424
TJ081,intracranial,pyFR,0.06981074481074481
TJ082,intracranial,pyFR,0.001297313797313817
TJ083,intracranial,pyFR,-0.24084249084249085
UP001,intracranial,pyFR,0.03452579166864882
UP002,intracranial,pyFR,0.035253887526614805
UP003,intracranial,pyFR,0.044220065648637084
UP004,intracranial,pyFR,-0.1392057017057017
UP005,intracranial,pyFR,0.08349117317867319
UP006,intracranial,pyFR,0.08254540384170014
UP007,intracranial,pyFR,0.029345446220446225
UP008,intracranial,pyFR,-0.05611375552552022
UP011,intracranial,pyFR,0.007046249400900564
UP016,intracranial,pyFR,0.13892940392940392
UP017,intracranial,pyFR,-0.03476838280116969
