subject,exp_type,experiment,psim_pli,psim_eli,psim_pli_control,psim_eli_control
BW001,intracranial,pyFR,0.9615384615384616,1.0,0.9296153846153845,0.9481818181818181
BW013,intracranial,pyFR,0.875,1.0,0.9575,0.97
BW014,intracranial,pyFR,0.8333333333333334,0.6666666666666666,0.9383333333333334,0.7216666666666667
BW022,intracranial,pyFR,0.9415584415584416,0.7361111111111112,0.8743506493506494,0.6773611111111111
BW023,intracranial,pyFR,0.9,0.85,0.9091666666666666,0.8788750000000001
BW024,intracranial,pyFR,1.0,0.8333333333333333,0.8921428571428571,0.7633333333333334
BW025,intracranial,pyFR,0.9280303030303031,1.0,0.8763956876456876,0.8475
CH003,intracranial,pyFR,1.0,1.0,0.99,0.95
CH005,intracranial,pyFR,,1.0,,0.96
CH008b,intracranial,pyFR,1.0,1.0,0.9805555555555555,0.9408888888888889
CH012,intracranial,pyFR,0.9333333333333332,0.8650793650793651,0.911047619047619,0.9196031746031745
CH013,intracranial,pyFR,0.8333333333333334,1.0,0.83,0.9933333333333333
CH018,intracranial,pyFR,1.0,1.0,0.985,0.87
CH040,intracranial,pyFR,1.0,1.0,0.8099999999999999,0.9460000000000001
CH042,intracranial,pyFR,0.8712121212121212,1.0,0.9158333333333334,0.9102083333333333
CH046,intracranial,pyFR,1.0,1.0,0.9555555555555555,0.8908333333333335
CH048,intracranial,pyFR,0.9279411764705883,1.0,0.9237312091503267,0.939148148148148
CH058,intracranial,pyFR,1.0,1.0,0.9625000000000001,0.7250000000000001
CH061,intracranial,pyFR,0.6296296296296297,0.9666666666666667,0.7768518518518519,0.8501666666666666
CH063,intracranial,pyFR,0.875,0.7638888888888888,0.84875,0.8676388888888888
CH065,intracranial,pyFR,0.9,1.0,0.9056666666666666,0.8233333333333333
CH066,intracranial,pyFR,1.0,1.0,0.915,0.75
CH067,intracranial,pyFR,0.6666666666666666,0.9285714285714286,0.8825000000000001,0.8567857142857143
CH068,intracranial,pyFR,1.0,1.0,0.9450000000000001,0.9466666666666667
CP001,intracranial,pyFR,1.0,0.8333333333333333,0.90975,0.9033333333333333
TJ001,intracranial,pyFR,0.8888888888888888,1.0,0.7366666666666667,0.93
TJ003,intracranial,pyFR,0.925,0.9288194444444444,0.8535230263157895,0.8938020833333333
TJ004,intracranial,pyFR,0.875,0.7894736842105263,0.89625,0.8005263157894736
TJ005,intracranial,pyFR,0.9077344877344877,0.9722222222222222,0.8512506493506493,0.8602777777777777
TJ006,intracranial,pyFR,,1.0,,0.0
TJ010,intracranial,pyFR,1.0,0.8333333333333334,0.8428571428571429,0.815
TJ011,intracranial,pyFR,0.8421052631578947,0.9215686274509803,0.8384210526315791,0.8258823529411764
TJ013,intracranial,pyFR,0.8666666666666667,0.8973684210526316,0.8675811403508773,0.8487894736842105
