subject,exp_type,experiment,cr_psim,pli_psim,eli_psim
BW001,intracranial,pyFR,0.13506235827664398,0.06904761904761904,0.0625
BW013,intracranial,pyFR,0.13971861471861474,0.12414965986394558,0.25
BW014,intracranial,pyFR,0.14499118165784833,0.05555555555555555,0.047619047619047616
BW022,intracranial,pyFR,0.16076604554865426,0.15133928571428573,0.1499939874939875
BW023,intracranial,pyFR,0.15396471088435373,0.11904761904761904,0.04642857142857143
BW024,intracranial,pyFR,0.14727633477633476,0.12380952380952379,0.0
BW025,intracranial,pyFR,0.14743003341687552,0.10912698412698413,0.2833333333333333
CH003,intracranial,pyFR,0.14588744588744587,0.0,0.3333333333333333
CH005,intracranial,pyFR,0.18689006466784244,,
CH008b,intracranial,pyFR,0.11465436601991223,0.2698412698412698,0.15873015873015872
CH012,intracranial,pyFR,0.14207065610126834,0.03253968253968254,0.20259740259740258
CH013,intracranial,pyFR,0.13076923076923078,0.4761904761904761,0.25
CH018,intracranial,pyFR,0.13710783151572625,0.5178571428571428,0.16666666666666666
CH040,intracranial,pyFR,0.20693948412698412,0.20833333333333331,0.05714285714285714
CH042,intracranial,pyFR,0.15200946904185403,0.24181547619047616,0.19841269841269837
CH046,intracranial,pyFR,0.1266233766233766,0.037037037037037035,0.15476190476190477
CH048,intracranial,pyFR,0.09732615268329553,0.13922568172568173,0.041666666666666664
CH058,intracranial,pyFR,0.14960976638717502,0.24007936507936506,0.08928571428571429
CH061,intracranial,pyFR,0.10299823633156964,0.10052910052910052,0.25615079365079363
CH063,intracranial,pyFR,0.14285714285714285,0.0,0.11904761904761904
CH065,intracranial,pyFR,0.12981859410430838,0.08333333333333333,0.16666666666666666
CH066,intracranial,pyFR,0.16805555555555557,0.1111111111111111,0.0
CH067,intracranial,pyFR,0.12262949039264828,0.29166666666666663,0.2955060812203669
CH068,intracranial,pyFR,0.13830262666454923,0.2,0.25
CP001,intracranial,pyFR,0.051916535845107276,0.07619047619047618,0.19444444444444442
TJ001,intracranial,pyFR,0.15003741029164758,0.06666666666666667,0.0
TJ003,intracranial,pyFR,0.09893664939396646,0.07777777777777778,0.16235119047619045
TJ004,intracranial,pyFR,0.10770135214579658,0.1111111111111111,0.126007326007326
TJ005,intracranial,pyFR,0.1627945316856084,0.12287556689342402,0.2460813492063492
TJ006,intracranial,pyFR,0.1619047619047619,,0.0
TJ010,intracranial,pyFR,0.09474206349206349,0.0625,0.0
TJ011,intracranial,pyFR,0.2857142857142857,0.5416666666666666,0.13888888888888887
TJ013,intracranial,pyFR,0.13393436821175458,0.17488898337112624,0.18401675485008817
TJ015,intracranial,pyFR,0.10163889303588543,0.1691609977324263,0.12062232300327537
TJ016,intracranial,pyFR,0.1737828718822871,0.13732563732563732,0.16574074074074074
TJ017,intracranial,pyFR,0.13429705215419502,0.0,0.2346938775510204
TJ018,intracranial,pyFR,0.11780026455026454,0.07142857142857142,0.10476190476190476
TJ019,intracranial,pyFR,0.15499373433583957,0.1244047619047619,0.0
TJ020,intracranial,pyFR,0.1069010411220556,0.11904761904761904,0.14285714285714285
TJ021,intracranial,pyFR,0.10461237635150678,0.26785714285714285,0.14285714285714285
TJ022,intracranial,pyFR,0.11183571273202032,0.1489638447971781,0.053357753357753356
TJ024,intracranial,pyFR,0.1256679894179894,0.13343253968253968,0.1509948979591837
TJ025,intracranial,pyFR,0.12394705194120843,0.13020833333333331,0.3451388888888889
TJ027,intracranial,pyFR,0.11521481990231991,0.20476190476190476,0.041666666666666664
TJ028,intracranial,pyFR,0.1412505959830741,0.15095238095238095,0.19642857142857142
TJ029,intracranial,pyFR,0.11919390829165265,0.17460317460317462,0.19444444444444442
