subject,experiment,session,localization,montage,list,tcs
R1001P,FR1,0,0,0,3,0.4
R1001P,FR1,0,0,0,8,0.5
R1001P,FR1,0,0,0,11,0.3
R1001P,FR1,0,0,0,14,0.6142857142857143
R1001P,FR1,0,0,0,15,0.533531746031746
R1001P,FR1,0,0,0,16,0.975
R1001P,FR1,0,0,0,18,0.75
R1001P,FR1,0,0,0,19,0.95
R1001P,FR1,0,0,0,20,0.95
R1001P,FR1,0,0,0,21,0.5222222222222223
R1001P,FR1,0,0,0,22,0.35
R1001P,FR1,0,0,0,23,0.95
R1001P,FR1,0,0,0,25,0.58125
R1001P,FR1,1,0,1,1,0.5222222222222223
R1001P,FR1,1,0,1,2,0.7232638888888889
R1001P,FR1,1,0,1,5,0.2
R1001P,FR1,1,0,1,6,0.8654761904761905
R1001P,FR1,1,0,1,7,0.6847222222222222
R1001P,FR1,1,0,1,11,0.673611111111111
R1001P,FR1,1,0,1,12,0.44166666666666665
R1001P,FR1,1,0,1,13,0.95
R1001P,FR1,1,0,1,14,0.37407407407407406
R1001P,FR1,1,0,1,15,0.7777777777777778
R1001P,FR1,1,0,1,16,0.75
R1001P,FR1,1,0,1,17,0.55
R1001P,FR1,1,0,1,18,0.55
R1001P,FR1,1,0,1,19,0.0
R1001P,FR1,1,0,1,21,0.55
R1001P,FR1,1,0,1,23,0.975
R1001P,FR1,1,0,1,24,0.3
R1002P,FR1,0,0,0,1,1.0
R1002P,FR1,0,0,0,2,0.6578174603174604
R1002P,FR1,0,0,0,3,0.5765873015873015
R1002P,FR1,0,0,0,4,0.3771825396825397
R1002P,FR1,0,0,0,5,0.51875
R1002P,FR1,0,0,0,6,0.35265873015873017
R1002P,FR1,0,0,0,7,0.5666666666666667
R1002P,FR1,0,0,0,8,0.6023809523809524
R1002P,FR1,0,0,0,9,0.5173611111111112
R1002P,FR1,0,0,0,10,0.5375
R1002P,FR1,0,0,0,11,0.9285714285714286
R1002P,FR1,0,0,0,12,0.7546130952380953
R1002P,FR1,0,0,0,13,0.9050925925925926
R1002P,FR1,0,0,0,14,0.5361111111111111
R1002P,FR1,0,0,0,15,0.95
R1002P,FR1,0,0,0,16,0.8807936507936509
R1002P,FR1,0,0,0,17,0.4385714285714285
R1002P,FR1,0,0,0,18,0.5111111111111111
R1002P,FR1,0,0,0,19,0.7038194444444444
R1002P,FR1,0,0,0,20,0.7833333333333333
R1002P,FR1,0,0,0,21,0.7304761904761905
R1002P,FR1,0,0,0,22,0.95
R1002P,FR1,0,0,0,23,0.4
R1002P,FR1,0,0,0,24,0.8333333333333333
R1002P,FR1,0,0,0,25,0.549074074074074
R1002P,FR1,1,0,1,1,0.8432539682539683
R1002P,FR1,1,0,1,2,0.23722222222222222
R1002P,FR1,1,0,1,3,0.7
R1002P,FR1,1,0,1,4,0.61875
R1002P,FR1,1,0,1,5,0.6237698412698414
R1002P,FR1,1,0,1,6,0.5462797619047619
R1002P,FR1,1,0,1,7,0.425
R1002P,FR1,1,0,1,8,0.7680555555555556
R1002P,FR1,1,0,1,9,0.43333333333333335
R1002P,FR1,1,0,1,10,0.61875
R1002P,FR1,1,0,1,11,0.55
R1002P,FR1,1,0,1,12,0.3412698412698413
R1002P,FR1,1,0,1,13,0.3
R1002P,FR1,1,0,1,14,0.8333333333333334
R1002P,FR1,1,0,1,15,0.542063492063492
R1002P,FR1,1,0,1,16,0.505787037037037
R1002P,FR1,1,0,1,17,0.23801587301587301
R1002P,FR1,1,0,1,18,0.48020833333333335
R1002P,FR1,1,0,1,19,0.43888888888888894
R1002P,FR1,1,0,1,20,0.5361111111111111
R1002P,FR1,1,0,1,21,0.8
R1002P,FR1,1,0,1,22,0.9583333333333334
R1002P,FR1,1,0,1,23,0.7604365079365079
R1002P,FR1,1,0,1,24,0.9069444444444444
R1002P,FR1,1,0,1,25,0.7638888888888888
R1003P,FR1,0,0,0,1,0.667906746031746
R1003P,FR1,0,0,0,2,0.1537037037037037
R1003P,FR1,0,0,0,3,0.6759259259259259
R1003P,FR1,0,0,0,4,0.6763888888888889
R1003P,FR1,0,0,0,5,0.2869047619047619
R1003P,FR1,0,0,0,6,0.29166666666666663
R1003P,FR1,0,0,0,7,0.3432539682539682
R1003P,FR1,0,0,0,8,0.5986111111111111
R1003P,FR1,0,0,0,9,0.6361111111111111
R1003P,FR1,0,0,0,11,0.7455357142857143
R1003P,FR1,0,0,0,13,0.69375
R1003P,FR1,0,0,0,16,0.7833333333333333
R1003P,FR1,0,0,0,18,0.4875
R1003P,FR1,0,0,0,20,0.5583333333333333
R1003P,FR1,0,0,0,21,0.275
R1003P,FR1,1,0,1,1,0.6741071428571428
R1003P,FR1,1,0,1,2,0.7731481481481483
R1003P,FR1,1,0,1,3,1.0
R1003P,FR1,1,0,1,4,1.0
R1003P,FR1,1,0,1,5,0.7962962962962963
R1003P,FR1,1,0,1,6,0.4766666666666667
R1003P,FR1,1,0,1,8,1.0
R1003P,FR1,1,0,1,9,0.9196428571428572
R1003P,FR1,1,0,1,10,0.9047619047619048
R1003P,FR1,1,0,1,11,0.7896825396825397
R1003P,FR1,1,0,1,12,0.9444444444444444
R1003P,FR1,1,0,1,13,0.85625
R1003P,FR1,1,0,1,14,0.7455357142857143
R1003P,FR1,1,0,1,15,0.8011904761904762
R1003P,FR1,1,0,1,16,1.0
R1003P,FR1,1,0,1,17,0.8523148148148149
R1003P,FR1,1,0,1,18,0.7026289682539683
R1003P,FR1,1,0,1,19,1.0
R1003P,FR1,1,0,1,20,0.9030257936507936
R1003P,FR1,1,0,1,21,1.0
R1003P,FR1,1,0,1,22,0.8888888888888888
R1003P,FR1,1,0,1,23,0.5002480158730158
R1006P,FR1,0,0,0,1,0.9375
R1006P,FR1,0,0,0,2,0.6361111111111111
R1006P,FR1,0,0,0,3,0.5222222222222223
R1006P,FR1,0,0,0,4,0.6712962962962963
R1006P,FR1,0,0,0,5,0.8916666666666666
R1006P,FR1,0,0,0,6,0.95
R1006P,FR1,0,0,0,7,0.9444444444444444
R1006P,FR1,0,0,0,8,0.5622222222222222
R1006P,FR1,0,0,0,9,0.25
R1006P,FR1,0,0,0,10,0.5944444444444444
R1006P,FR1,0,0,0,11,0.5111111111111111
R1006P,FR1,0,0,0,12,0.5828174603174603
R1006P,FR1,0,0,0,13,0.7732142857142857
R1006P,FR1,0,0,0,14,0.49074074074074076
R1006P,FR1,0,0,0,15,0.95
R1006P,FR1,0,0,0,16,0.45
