subject,experiment,session,l_length,p_recall
LTP093,ltpFR2,0,24,0.3993055555555556
LTP093,ltpFR2,1,24,0.4201388888888889
LTP093,ltpFR2,2,24,0.53125
LTP093,ltpFR2,3,24,0.4444444444444444
LTP093,ltpFR2,4,24,0.5590277777777778
LTP093,ltpFR2,5,24,0.40625
LTP093,ltpFR2,6,24,0.5069444444444444
LTP093,ltpFR2,7,24,0.3819444444444444
LTP093,ltpFR2,8,24,0.40972222222222227
LTP093,ltpFR2,9,24,0.3819444444444444
LTP093,ltpFR2,10,24,0.328125
LTP093,ltpFR2,11,24,0.3541666666666667
LTP093,ltpFR2,12,24,0.3576388888888889
LTP093,ltpFR2,13,24,0.3663194444444444
LTP093,ltpFR2,14,24,0.3645833333333333
LTP093,ltpFR2,15,24,0.3420138888888889
LTP093,ltpFR2,16,24,0.3142361111111111
LTP093,ltpFR2,17,24,0.2743055555555556
LTP093,ltpFR2,18,24,0.25347222222222227
LTP093,ltpFR2,19,24,0.34375
LTP093,ltpFR2,20,24,0.3211805555555555
LTP093,ltpFR2,21,24,0.2864583333333333
LTP093,ltpFR2,22,24,0.3454861111111111
LTP106,ltpFR2,0,24,0.7048611111111112
LTP106,ltpFR2,1,24,0.7291666666666666
LTP106,ltpFR2,2,24,0.7256944444444445
LTP106,ltpFR2,3,24,0.7239583333333334
LTP106,ltpFR2,4,24,0.7239583333333334
LTP106,ltpFR2,5,24,0.78125
LTP106,ltpFR2,6,24,0.8333333333333334
LTP106,ltpFR2,7,24,0.7569444444444445
LTP106,ltpFR2,8,24,0.7934027777777778
LTP106,ltpFR2,9,24,0.7986111111111112
LTP106,ltpFR2,10,24,0.7638888888888888
LTP106,ltpFR2,11,24,0.7951388888888888
LTP106,ltpFR2,12,24,0.8020833333333334
LTP106,ltpFR2,13,24,0.7986111111111112
LTP106,ltpFR2,14,24,0.7916666666666666
LTP106,ltpFR2,15,24,0.7326388888888888
LTP106,ltpFR2,16,24,0.6614583333333334
LTP106,ltpFR2,17,24,0.7413194444444445
LTP106,ltpFR2,18,24,0.7065972222222222
LTP106,ltpFR2,19,24,0.6822916666666666
LTP106,ltpFR2,20,24,0.6614583333333334
LTP106,ltpFR2,21,24,0.6649305555555556
LTP106,ltpFR2,22,24,0.7465277777777778
LTP115,ltpFR2,0,24,0.5243055555555556
LTP115,ltpFR2,1,24,0.578125
LTP115,ltpFR2,2,24,0.6302083333333334
LTP115,ltpFR2,3,24,0.501736111111111
LTP115,ltpFR2,4,24,0.6684027777777778
LTP115,ltpFR2,5,24,0.6892361111111112
