subject,exp_type,experiment,session,localization,montage,list,pcs
R1001P,intracranial,FR1,0,0,0,3,1.0
R1001P,intracranial,FR1,0,0,0,8,0.5888888888888889
R1001P,intracranial,FR1,0,0,0,11,0.9
R1001P,intracranial,FR1,0,0,0,14,0.75
R1001P,intracranial,FR1,0,0,0,15,0.3329861111111111
R1001P,intracranial,FR1,0,0,0,16,0.475
R1001P,intracranial,FR1,0,0,0,18,0.9
R1001P,intracranial,FR1,0,0,0,19,0.9
R1001P,intracranial,FR1,0,0,0,20,0.3
R1001P,intracranial,FR1,0,0,0,21,0.7583333333333333
R1001P,intracranial,FR1,0,0,0,22,0.95
R1001P,intracranial,FR1,0,0,0,23,0.9
R1001P,intracranial,FR1,0,0,0,25,0.675
R1001P,intracranial,FR1,1,0,1,1,0.3611111111111111
R1001P,intracranial,FR1,1,0,1,2,0.2537202380952381
R1001P,intracranial,FR1,1,0,1,5,0.3
R1001P,intracranial,FR1,1,0,1,6,0.3546626984126984
R1001P,intracranial,FR1,1,0,1,7,0.7273148148148149
R1001P,intracranial,FR1,1,0,1,11,0.6175925925925926
R1001P,intracranial,FR1,1,0,1,12,0.2722222222222222
R1001P,intracranial,FR1,1,0,1,13,0.6
R1001P,intracranial,FR1,1,0,1,14,0.8606481481481482
R1001P,intracranial,FR1,1,0,1,15,0.4444444444444444
R1001P,intracranial,FR1,1,0,1,16,0.4
R1001P,intracranial,FR1,1,0,1,17,0.75
R1001P,intracranial,FR1,1,0,1,18,0.5222222222222223
R1001P,intracranial,FR1,1,0,1,19,0.95
R1001P,intracranial,FR1,1,0,1,21,1.0
R1001P,intracranial,FR1,1,0,1,23,0.3944444444444445
R1001P,intracranial,FR1,1,0,1,24,0.3
R1002P,intracranial,FR1,0,0,0,1,0.41435185185185186
R1002P,intracranial,FR1,0,0,0,2,0.47579365079365077
R1002P,intracranial,FR1,0,0,0,3,0.690029761904762
R1002P,intracranial,FR1,0,0,0,4,0.49193121693121694
R1002P,intracranial,FR1,0,0,0,5,0.7040178571428571
