subject,exp_type,experiment,pcs
BW001,intracranial,pyFR,0.48514575327994447
BW013,intracranial,pyFR,0.522388166722968
BW014,intracranial,pyFR,0.5190608636716696
BW022,intracranial,pyFR,0.5539266724560842
BW023,intracranial,pyFR,0.4672081390831391
BW024,intracranial,pyFR,0.4923070448070448
BW025,intracranial,pyFR,0.5072953752165709
CH003,intracranial,pyFR,0.4939905466460088
CH005,intracranial,pyFR,0.5600193991738109
CH008b,intracranial,pyFR,0.47116192793542533
CH012,intracranial,pyFR,0.5379878082587061
CH013,intracranial,pyFR,0.4428802114765875
CH018,intracranial,pyFR,0.5059023111964288
CH040,intracranial,pyFR,0.6101534888153285
CH042,intracranial,pyFR,0.5317641721810982
CH046,intracranial,pyFR,0.44755355846042116
CH048,intracranial,pyFR,0.4450900607638889
CH058,intracranial,pyFR,0.5131564614366485
CH061,intracranial,pyFR,0.4266203356828357
CH063,intracranial,pyFR,0.4879807692307692
CH065,intracranial,pyFR,0.45906102444563984
CH066,intracranial,pyFR,0.5483515298359048
CH067,intracranial,pyFR,0.5257944023569023
CH068,intracranial,pyFR,0.5168964727402228
CP001,intracranial,pyFR,0.4183208365708366
TJ001,intracranial,pyFR,0.5304752517348417
TJ003,intracranial,pyFR,0.44152233366049154
TJ004,intracranial,pyFR,0.4815297949913334
TJ005,intracranial,pyFR,0.5423054495240209
TJ006,intracranial,pyFR,0.5802900802900803
TJ010,intracranial,pyFR,0.47355499438832777
TJ011,intracranial,pyFR,0.6538461538461539
TJ013,intracranial,pyFR,0.4955445278627097
TJ015,intracranial,pyFR,0.47819953875100935
TJ016,intracranial,pyFR,0.5812321251545389
TJ017,intracranial,pyFR,0.5528360528360529
TJ018,intracranial,pyFR,0.4825836343693487
TJ019,intracranial,pyFR,0.4681983699171199
TJ020,intracranial,pyFR,0.44558277420330994
TJ021,intracranial,pyFR,0.42955155247247084
TJ022,intracranial,pyFR,0.4708804506397674
TJ024,intracranial,pyFR,0.4778002090502091
TJ025,intracranial,pyFR,0.47822459199956174
TJ027,intracranial,pyFR,0.4667636958377699
TJ028,intracranial,pyFR,0.48031110600158217
TJ029,intracranial,pyFR,0.4827197343211781
TJ030,intracranial,pyFR,0.4633059224725891
TJ031,intracranial,pyFR,0.5061845231738359
TJ032,intracranial,pyFR,0.5351887527051425
TJ033,intracranial,pyFR,0.504884583009583
TJ034,intracranial,pyFR,0.48951097513597513
TJ035,intracranial,pyFR,0.47096283346283346
TJ036,intracranial,pyFR,0.48943058123396666
TJ037,intracranial,pyFR,0.528374671137829
TJ038,intracranial,pyFR,0.4888948929858021
