subject,exp_type,experiment,bin,psim,irt
BW001,intracranial,pyFR,0.0,0.0,3004.3125
BW001,intracranial,pyFR,1.0,0.24305555555555555,3278.5
BW001,intracranial,pyFR,2.0,0.2857142857142857,3538.75
BW001,intracranial,pyFR,3.0,0.3333333333333333,4372.666666666667
BW001,intracranial,pyFR,5.0,0.6666666666666666,2082.0
BW013,intracranial,pyFR,0.0,0.0,3469.36
BW013,intracranial,pyFR,1.0,0.17857142857142858,5081.333333333333
BW013,intracranial,pyFR,2.0,0.2857142857142857,2685.75
BW013,intracranial,pyFR,3.0,0.3333333333333333,4827.0
BW013,intracranial,pyFR,4.0,0.39821428571428574,3854.25
BW013,intracranial,pyFR,5.0,0.5714285714285714,1526.5
BW014,intracranial,pyFR,0.0,0.0,4093.8571428571427
BW014,intracranial,pyFR,1.0,0.24166666666666664,5587.3
BW014,intracranial,pyFR,2.0,0.2857142857142857,5008.928571428572
BW014,intracranial,pyFR,3.0,0.3333333333333333,3263.75
BW014,intracranial,pyFR,4.0,0.4,6925.25
BW014,intracranial,pyFR,5.0,0.5848214285714286,2959.8125
BW022,intracranial,pyFR,0.0,0.0,1707.08
BW022,intracranial,pyFR,1.0,0.2333333333333333,2030.0
BW022,intracranial,pyFR,2.0,0.2857142857142857,5905.333333333333
BW022,intracranial,pyFR,3.0,0.3253968253968254,775.5
BW022,intracranial,pyFR,4.0,0.4,3734.5
BW022,intracranial,pyFR,5.0,0.5138888888888888,1288.0
BW023,intracranial,pyFR,0.0,0.0,5980.705882352941
BW023,intracranial,pyFR,1.0,0.25,8586.5
BW023,intracranial,pyFR,2.0,0.2857142857142857,15363.0
BW023,intracranial,pyFR,3.0,0.3333333333333333,5322.333333333333
BW023,intracranial,pyFR,4.0,0.4,12712.5
BW023,intracranial,pyFR,5.0,0.5079365079365079,7426.333333333333
BW024,intracranial,pyFR,0.0,0.0,2144.7619047619046
BW024,intracranial,pyFR,1.0,0.25,1722.0
BW024,intracranial,pyFR,2.0,0.2857142857142857,2220.714285714286
BW024,intracranial,pyFR,3.0,0.3333333333333333,2226.0
BW024,intracranial,pyFR,5.0,0.5476190476190476,856.0
BW025,intracranial,pyFR,0.0,0.0,3837.88
BW025,intracranial,pyFR,1.0,0.23809523809523808,5530.666666666667
BW025,intracranial,pyFR,2.0,0.2857142857142857,4957.071428571428
BW025,intracranial,pyFR,3.0,0.3333333333333333,4527.923076923077
BW025,intracranial,pyFR,4.0,0.4,1185.5
BW025,intracranial,pyFR,5.0,0.6476190476190476,4357.666666666667
CH003,intracranial,pyFR,0.0,0.0,4608.5
CH003,intracranial,pyFR,1.0,0.25,3837.0
CH003,intracranial,pyFR,2.0,0.2857142857142857,2600.0
CH003,intracranial,pyFR,3.0,0.32857142857142857,7112.4
CH003,intracranial,pyFR,4.0,0.4,1881.5
CH003,intracranial,pyFR,5.0,0.7777777777777777,1766.0
CH005,intracranial,pyFR,0.0,0.0,9782.083333333334
CH005,intracranial,pyFR,1.0,0.2222222222222222,4680.5
CH005,intracranial,pyFR,2.0,0.2857142857142857,1828.0
CH005,intracranial,pyFR,3.0,0.3333333333333333,10354.5
CH005,intracranial,pyFR,4.0,0.4,1175.0
CH005,intracranial,pyFR,5.0,0.611111111111111,1793.6666666666667
CH008b,intracranial,pyFR,0.0,0.0,5127.75
CH008b,intracranial,pyFR,1.0,0.1736111111111111,2947.0
CH008b,intracranial,pyFR,2.0,0.2857142857142857,3183.25
CH008b,intracranial,pyFR,3.0,0.3333333333333333,3470.4
CH008b,intracranial,pyFR,4.0,0.4,3418.5
CH008b,intracranial,pyFR,5.0,0.5833333333333333,9592.25
CH012,intracranial,pyFR,0.0,0.0,3880.614285714286
CH012,intracranial,pyFR,1.0,0.25,4054.25
CH012,intracranial,pyFR,2.0,0.2857142857142857,3268.764705882353
CH012,intracranial,pyFR,3.0,0.3333333333333333,2629.5384615384614
CH012,intracranial,pyFR,4.0,0.4,2461.0
CH012,intracranial,pyFR,5.0,0.6021645021645021,2602.0
CH013,intracranial,pyFR,0.0,0.0,3864.190476190476
CH013,intracranial,pyFR,1.0,0.2152777777777778,2684.25
CH013,intracranial,pyFR,2.0,0.2857142857142857,8696.5
CH013,intracranial,pyFR,3.0,0.3333333333333333,3848.5
CH013,intracranial,pyFR,5.0,0.6145124716553287,3878.1428571428573
CH018,intracranial,pyFR,0.0,0.0,2483.3571428571427
CH018,intracranial,pyFR,1.0,0.22111992945326278,1587.111111111111
CH018,intracranial,pyFR,2.0,0.2857142857142857,1864.2
CH018,intracranial,pyFR,3.0,0.3333333333333333,1015.4285714285714
CH018,intracranial,pyFR,4.0,0.4,1140.0
CH018,intracranial,pyFR,5.0,0.5099206349206349,2017.0
CH040,intracranial,pyFR,0.0,0.0,4096.428571428572
CH040,intracranial,pyFR,1.0,0.22301587301587303,3177.4
CH040,intracranial,pyFR,2.0,0.2857142857142857,3057.3636363636365
CH040,intracranial,pyFR,3.0,0.3333333333333333,3179.285714285714
CH040,intracranial,pyFR,4.0,0.39375000000000004,2636.25
CH040,intracranial,pyFR,5.0,0.5505050505050505,3647.6363636363635
CH042,intracranial,pyFR,0.0,0.0,4974.550724637681
CH042,intracranial,pyFR,1.0,0.2202380952380952,3636.8571428571427
CH042,intracranial,pyFR,2.0,0.2857142857142857,5377.916666666667
CH042,intracranial,pyFR,3.0,0.3333333333333333,4366.583333333333
CH042,intracranial,pyFR,4.0,0.4000000000000001,840.6666666666666
CH042,intracranial,pyFR,5.0,0.6176587301587301,3082.25
CH046,intracranial,pyFR,0.0,0.0,2246.714285714286
CH046,intracranial,pyFR,1.0,0.25,3245.0
CH046,intracranial,pyFR,2.0,0.2857142857142857,1209.0
CH046,intracranial,pyFR,5.0,0.5714285714285714,2823.0
CH048,intracranial,pyFR,0.0,0.0,5128.705882352941
CH048,intracranial,pyFR,1.0,0.2037037037037037,3347.6666666666665
CH048,intracranial,pyFR,2.0,0.2857142857142857,2433.0
CH048,intracranial,pyFR,3.0,0.3333333333333333,1815.0
CH048,intracranial,pyFR,4.0,0.4,1266.5
CH048,intracranial,pyFR,5.0,0.6190476190476191,4930.0
CH058,intracranial,pyFR,0.0,0.0,3409.3333333333335
CH058,intracranial,pyFR,1.0,0.25,5286.25
CH058,intracranial,pyFR,2.0,0.2857142857142857,2753.1428571428573
CH058,intracranial,pyFR,3.0,0.329004329004329,4037.5454545454545
CH058,intracranial,pyFR,4.0,0.4,3737.4
CH058,intracranial,pyFR,5.0,0.5666666666666667,1650.0
CH061,intracranial,pyFR,0.0,0.0,4452.333333333333
CH061,intracranial,pyFR,1.0,0.2222222222222222,1650.0
