subject,experiment,tcs
LTP093,ltpFR2,0.8512463364916201
LTP106,ltpFR2,0.7241395877264845
LTP115,ltpFR2,0.6597226871066502
LTP117,ltpFR2,0.7656857419092316
LTP122,ltpFR2,0.7175050240019006
LTP123,ltpFR2,0.5927305915844889
LTP133,ltpFR2,0.7745666847434585
LTP138,ltpFR2,0.6522854062555297
LTP187,ltpFR2,0.8346128488585839
LTP207,ltpFR2,0.788817621081902
LTP210,ltpFR2,0.637101880272856
LTP228,ltpFR2,0.7452219946460569
LTP229,ltpFR2,0.7137841976973694
LTP236,ltpFR2,0.6658018806054387
LTP242,ltpFR2,0.6868366849958927
LTP246,ltpFR2,0.931446827518686
LTP249,ltpFR2,0.7989827596486316
LTP250,ltpFR2,0.7357851045365973
LTP251,ltpFR2,0.6643523711880458
LTP258,ltpFR2,0.7313790695549685
LTP259,ltpFR2,0.754808495238872
LTP260,ltpFR2,0.6729489741750985
LTP265,ltpFR2,0.8224134763347901
LTP269,ltpFR2,0.7858668056647358
LTP273,ltpFR2,0.7105960978515351
LTP274,ltpFR2,0.7026743318832502
LTP278,ltpFR2,0.7982144331933229
LTP279,ltpFR2,0.8719785659435679
LTP280,ltpFR2,0.7443247536063494
LTP281,ltpFR2,0.7234959886460952
LTP283,ltpFR2,0.7425921133080801
LTP285,ltpFR2,0.6053739387215016
LTP287,ltpFR2,0.701158674831065
LTP290,ltpFR2,0.8869974052766444
LTP293,ltpFR2,0.5938047937987365
LTP295,ltpFR2,0.6883435505783886
LTP296,ltpFR2,0.6312138955235852
LTP297,ltpFR2,0.648812407495531
LTP298,ltpFR2,0.8727244448920266
LTP299,ltpFR2,0.7210500430946538
LTP300,ltpFR2,0.7114535874900887
LTP301,ltpFR2,0.6159389145667449
LTP302,ltpFR2,0.7739029626692802
LTP303,ltpFR2,0.9300758207219724
LTP304,ltpFR2,0.7616508146232097
LTP305,ltpFR2,0.7635623168761859
LTP306,ltpFR2,0.7811246657206755
LTP307,ltpFR2,0.6678868116182884
LTP308,ltpFR2,0.6613174089236393
LTP309,ltpFR2,0.5864920379927807
LTP310,ltpFR2,0.8708255960442218
LTP311,ltpFR2,0.8059662976059669
LTP312,ltpFR2,0.7104983818234097
LTP313,ltpFR2,0.8068463613540453
LTP314,ltpFR2,0.6562962909556759
LTP315,ltpFR2,0.6564708661235187
LTP316,ltpFR2,0.7929572576350544
LTP317,ltpFR2,0.75729016172248
LTP318,ltpFR2,0.7395049264838714
LTP319,ltpFR2,0.7637250876585547
LTP320,ltpFR2,0.6197413933710714
LTP321,ltpFR2,0.7789080978486693
LTP322,ltpFR2,0.6975783242317637
LTP323,ltpFR2,0.7501645371467581
LTP324,ltpFR2,0.8111690396749153
LTP325,ltpFR2,0.74986502447618
LTP326,ltpFR2,0.6612492615256114
LTP327,ltpFR2,0.7872726000474803
LTP328,ltpFR2,0.881088667045863
LTP329,ltpFR2,0.6091167656571674
LTP330,ltpFR2,0.6280925160002148
LTP331,ltpFR2,0.8678250551124047
LTP334,ltpFR2,0.6862438711564076
LTP336,ltpFR2,0.7161884715393577
LTP337,ltpFR2,0.7128863077280386
LTP338,ltpFR2,0.7732608614783003
LTP339,ltpFR2,0.7050209730193455
LTP340,ltpFR2,0.7961526983471189
LTP341,ltpFR2,0.7594365099453693
LTP342,ltpFR2,0.8049452096222333
LTP343,ltpFR2,0.7378319773411378
LTP344,ltpFR2,0.7391488908583794
LTP346,ltpFR2,0.7807628891762604
LTP347,ltpFR2,0.8553403312473482
LTP348,ltpFR2,0.551465895746117
LTP349,ltpFR2,0.7200554035875703
LTP352,ltpFR2,0.6061422170270783
LTP353,ltpFR2,0.6522575998835445
LTP354,ltpFR2,0.641147094450557
LTP355,ltpFR2,0.736613255914165
LTP356,ltpFR2,0.9544762941997103
LTP357,ltpFR2,0.790909559625987
LTP358,ltpFR2,0.7080739625353116
LTP359,ltpFR2,0.7689594016907478
LTP360,ltpFR2,0.7727051503640475
LTP361,ltpFR2,0.7812400272985868
LTP362,ltpFR2,0.7081477813060739
LTP363,ltpFR2,0.6469417317106626
LTP364,ltpFR2,0.8261465179056987
LTP365,ltpFR2,0.6201541660393722
LTP366,ltpFR2,0.6916679970222661
LTP367,ltpFR2,0.8936292260462738
LTP368,ltpFR2,0.6617165578808363
LTP369,ltpFR2,0.8843789744917262
LTP370,ltpFR2,0.6603808565960099
LTP371,ltpFR2,0.8123809908426243
LTP372,ltpFR2,0.8396058636977921
LTP373,ltpFR2,0.6190234671179137
LTP374,ltpFR2,0.6266039365246323
LTP375,ltpFR2,0.6305990592075987
LTP376,ltpFR2,0.6667313367422744
LTP377,ltpFR2,0.7141101542201915
LTP378,ltpFR2,0.7874866913151785
LTP379,ltpFR2,0.983794618844549
LTP381,ltpFR2,0.5786133929945001
LTP382,ltpFR2,0.6925652577827432
LTP383,ltpFR2,0.6658699015693366
LTP384,ltpFR2,0.7144053486972245
LTP385,ltpFR2,0.7095125425598048
LTP386,ltpFR2,0.6665142545822073
LTP387,ltpFR2,0.6915484850748157
LTP388,ltpFR2,0.6436736011141312
LTP389,ltpFR2,0.6777334014004576
LTP390,ltpFR2,0.755643985640158
LTP391,ltpFR2,0.6208186290833381
LTP392,ltpFR2,0.6380735072463236
LTP393,ltpFR2,0.7528597686466831
