"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.429987196187659,0.0398921610914645,1090.23543411452,10.778739091166,8.22145482152652e-26
"pcs_H",0.0587008542994202,0.0136626281194908,65604.2019859696,4.29645407794411,1.73801354090622e-05
"scs",0.0214103924831556,0.0133878707597032,65637.9859178108,1.59923806163409,0.109772529203504
"tcs",0.0320525350991477,0.0111161555816034,65759.6085031664,2.8834190799014,0.00393511234927143
"exp_typescalp",0.194537829072666,0.0349227631129314,981.634767298952,5.57051652652969,3.27935031997951e-08
"l_length",-0.011299359585033,0.00287739768719944,940.017137219322,-3.92693704985585,9.23210303558131e-05
"pcs_H:scs",-0.0643905683633272,0.0154718111769005,65584.6762585393,-4.16179900511342,3.16152360645697e-05
"pcs_H:tcs",-0.0395214655317323,0.014290096112857,65605.4114799302,-2.76565428389068,0.00568246032772227
"scs:tcs",-0.0373880178964968,0.0176173670160485,65599.6399105552,-2.12222506702837,0.0338225788264522
"pcs_H:exp_typescalp",-0.00268740858348909,0.00670999617300255,65561.8155902534,-0.400508214043668,0.688783539747874
"scs:exp_typescalp",0.0476102688653358,0.00872852586846212,65598.8912167068,5.45456009214122,4.92711025811376e-08
"tcs:exp_typescalp",0.128653961248851,0.00820756339598809,65804.7325972448,15.6750493467693,2.82174117593528e-55
