"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.426084336157598,0.0409778886276035,1208.55519634475,10.3979084923028,2.59303289484128e-24
"pcs_J",0.00450428677764958,0.019094801407233,65583.8166650071,0.235890737043403,0.81351819281293
"scs",0.018470495682914,0.0171048783423255,65622.7694714093,1.07983788678633,0.280218345327484
"tcs",0.0410892082570974,0.0147185286335867,65697.7675155118,2.79166547689655,0.00524526752312024
"exp_typescalp",0.186995588924064,0.0352661484902795,1018.78049531685,5.30241029795488,1.4013215919872e-07
"l_length",-0.0112373880760462,0.00287909545972416,939.983545310795,-3.90309673063876,0.00010174706229975
"pcs_J:scs",0.00832820212440669,0.02165815870603,65588.99518161,0.384529554771799,0.700587241685651
"pcs_J:tcs",-0.0153432374248394,0.0198426213409012,65551.3461164519,-0.773246496077243,0.439379301941223
"scs:tcs",-0.040393015754532,0.0176171205907808,65599.413647495,-2.2928273406762,0.0218610963147988
"pcs_J:exp_typescalp",0.0149032043614283,0.0099300867831006,65595.7266453984,1.50081310334479,0.133408721705899
"scs:exp_typescalp",0.04734049010694,0.00872786359104221,65596.4839930588,5.42406393192575,5.84644065582183e-08
"tcs:exp_typescalp",0.128377599216505,0.00820862898681564,65804.6353967554,15.639347255516,4.93586525372357e-55
