subject,exp_type,experiment,r_pcs_v1,r_pcs_v2,r_tcs,r_scs
BW001,intracranial,pyFR,0.4253006750514421,0.5353692391204111,0.01642929537272535,0.18248828362049369
BW013,intracranial,pyFR,0.30388522326082795,-0.043002323335474706,-0.10603253040443929,0.3818205196349571
BW014,intracranial,pyFR,-0.09707488299633438,-0.21570503854588727,0.03745637610709743,0.032624441951625525
BW022,intracranial,pyFR,0.3194909032295574,-0.1787140053308412,-0.07773276030403939,-0.5327320782124395
BW023,intracranial,pyFR,0.12104066794028318,0.3113984851383241,-0.02486782637610499,-0.40629043770136897
BW024,intracranial,pyFR,0.24822552199467438,0.35163118599877746,0.08698198830292397,-0.05686224999317353
BW025,intracranial,pyFR,0.2325480965875435,-0.07704840032869024,0.0067391705169456044,-0.6605741669239893
CH003,intracranial,pyFR,0.07093604402163406,-0.20161968237990552,0.06997245602865299,0.7392613329517372
CH005,intracranial,pyFR,0.4208168277981716,0.015484706288498493,-0.017097436724573124,-0.5821630131821411
CH008b,intracranial,pyFR,0.19036725862578693,0.05429522640378274,-0.25900723303125145,0.14656434808880925
CH012,intracranial,pyFR,-0.029679461863032042,-0.17348504634039874,-0.06808313474588494,-0.24821497130784545
CH013,intracranial,pyFR,0.21135241570053453,0.2693659532920102,-0.13654395920853857,0.20513109173750704
CH018,intracranial,pyFR,-0.04964195794826909,-0.07602912481897305,-0.239995127873688,-0.06783870908951602
CH040,intracranial,pyFR,0.3692460864465881,-0.27173813934949137,0.14511184701702037,-0.14357980129664316
CH042,intracranial,pyFR,-0.26198007883323354,-0.0649887718761785,0.06790503532953454,0.3616581734747497
CH046,intracranial,pyFR,-0.03689702010350317,-0.11669901086781134,0.4067374077746688,-0.38188378599755446
CH048,intracranial,pyFR,0.1313135113563857,0.1416326659072449,0.021305229088124912,-0.22600031848080793
CH058,intracranial,pyFR,0.05247835002548179,-0.17391630706542896,0.042954523640938616,-0.26481066390050184
CH061,intracranial,pyFR,0.3412555516790408,0.2526337030126788,0.35014928212334645,-0.03757262735517164
CH065,intracranial,pyFR,0.4866982422258171,0.5947654299532348,0.5846356697024572,-0.40860718502819027
CH066,intracranial,pyFR,0.3032229593405474,-0.07032694822662836,0.4058861437551515,0.2092166631974587
CH067,intracranial,pyFR,0.08025218839624207,0.19465377696159508,0.28191883828431097,0.18590270827774596
CH068,intracranial,pyFR,-0.053579713666546194,-0.1660830072848784,-0.008889084870869979,0.15146807060861392
CP001,intracranial,pyFR,0.3107642922442988,-0.21975743061520578,0.5158357723860879,-0.3047285048524185
LTP093,scalp,ltpFR2,0.025358631046814226,-0.00031635112811755615,-0.09150168722432618,0.04023939196908024
LTP106,scalp,ltpFR2,0.05198139933742025,0.028949114363579213,-0.11417703611628868,0.07875289660947395
LTP115,scalp,ltpFR2,-0.02939877632743944,-0.051467549441870625,0.1196798231462611,0.06369030921611311
LTP117,scalp,ltpFR2,0.012584326746513106,0.06456358444346262,0.14364290035378344,-0.001125248199981873
LTP122,scalp,ltpFR2,-0.08086554133928579,-0.02169157114362986,-0.061159649882043435,0.03391740314950151
LTP123,scalp,ltpFR2,-0.038011957883828044,-0.002659354344119074,0.06900347132049318,-0.022372125447331446
LTP133,scalp,ltpFR2,-0.019928222680526332,-0.07310783773189025,0.07877573480650152,0.06397949715589461
LTP138,scalp,ltpFR2,-0.0046396436981359715,-0.08893250063196191,0.028109382354420558,0.06282962184044451
LTP187,scalp,ltpFR2,0.027128410998921104,-0.0432911458175671,-0.12956812263531947,0.06500527286507894
LTP207,scalp,ltpFR2,-0.024507443913945534,-0.03111914016386473,0.06809266069795789,0.07572757918054168
LTP210,scalp,ltpFR2,0.017720045192301328,-0.015130737212068937,-0.03058331781203389,0.006974672708227665
LTP228,scalp,ltpFR2,0.04908561882778888,0.04815386617199569,0.04065400511696053,0.0733427445492736
LTP229,scalp,ltpFR2,0.0265013353994576,0.09246068760378864,0.030669599939538838,-0.04271339986638614
LTP236,scalp,ltpFR2,0.027355496287799475,0.08686008071654448,-0.11940190589039842,0.06546244810342401
LTP242,scalp,ltpFR2,0.3096512538766283,0.4184626791307596,-0.13874017102708608,-0.10513955999296572
LTP246,scalp,ltpFR2,-0.031257286943910334,0.04019737145383474,0.32906706327633195,0.04029049955912033
LTP249,scalp,ltpFR2,0.13325666346012496,0.04949589364446163,0.034893684911535064,-0.05781780084698975
LTP250,scalp,ltpFR2,0.028705734485436007,0.03329788790457069,-0.20394877812766052,0.03481648155298093
LTP251,scalp,ltpFR2,0.08712266919205884,0.05375797399676029,-0.10383828928868703,0.09145332428247456
LTP258,scalp,ltpFR2,-0.01776321237874237,-0.02330381786648724,0.24127235550850223,-0.004891631971921418
