subject,exp_type,experiment,r_pcs
BW001,intracranial,pyFR,0.2900467302090285
BW013,intracranial,pyFR,0.7849848074743887
BW014,intracranial,pyFR,0.4719647964482763
BW022,intracranial,pyFR,0.2897258832355768
BW023,intracranial,pyFR,0.6243834044938251
BW024,intracranial,pyFR,0.5350550214808614
BW025,intracranial,pyFR,0.3562525037216022
CH003,intracranial,pyFR,0.8602239248169846
CH005,intracranial,pyFR,0.790151459266303
CH008b,intracranial,pyFR,0.585622172239136
CH012,intracranial,pyFR,0.6148330953912846
CH013,intracranial,pyFR,0.8250089869574374
CH018,intracranial,pyFR,0.8505585411876956
CH040,intracranial,pyFR,0.23194270189562688
CH042,intracranial,pyFR,0.7350901234732008
CH046,intracranial,pyFR,0.9855166103429855
CH048,intracranial,pyFR,0.7354243184855983
CH058,intracranial,pyFR,0.6132721393044372
CH061,intracranial,pyFR,0.37918331474897776
CH065,intracranial,pyFR,0.5822120066359002
CH066,intracranial,pyFR,0.45658045421960197
CH067,intracranial,pyFR,0.7200109148126088
CH068,intracranial,pyFR,0.4321226031600959
CP001,intracranial,pyFR,0.30746031408120966
LTP093,scalp,ltpFR2,0.4083271034216618
LTP106,scalp,ltpFR2,0.29513648138494325
LTP115,scalp,ltpFR2,0.43500942701582307
LTP117,scalp,ltpFR2,0.36425778577651363
LTP122,scalp,ltpFR2,0.38321752022034766
LTP123,scalp,ltpFR2,0.44502498723422734
LTP133,scalp,ltpFR2,0.4460125742214477
LTP138,scalp,ltpFR2,0.4460802945584616
LTP187,scalp,ltpFR2,0.4144181184656686
LTP207,scalp,ltpFR2,0.3777887521304342
LTP210,scalp,ltpFR2,0.4857728472502407
LTP228,scalp,ltpFR2,0.44192063789384795
LTP229,scalp,ltpFR2,0.47012586041507876
LTP236,scalp,ltpFR2,0.42583395249399536
LTP242,scalp,ltpFR2,0.2935598772081035
LTP246,scalp,ltpFR2,0.3916259001797759
LTP249,scalp,ltpFR2,0.3051100114838956
LTP250,scalp,ltpFR2,0.37145153698569383
LTP251,scalp,ltpFR2,0.4074851967078991
LTP258,scalp,ltpFR2,0.3894187677174885
LTP259,scalp,ltpFR2,0.39953557661997224
LTP260,scalp,ltpFR2,0.33563400637478635
LTP265,scalp,ltpFR2,0.3821419832960351
LTP269,scalp,ltpFR2,0.37094648311435363
LTP273,scalp,ltpFR2,0.4232456419757335
LTP274,scalp,ltpFR2,0.5316978846935376
LTP278,scalp,ltpFR2,0.3258901666844876
LTP279,scalp,ltpFR2,0.37749664759431234
LTP280,scalp,ltpFR2,0.47367871668669886
LTP281,scalp,ltpFR2,0.5117217243067913
LTP283,scalp,ltpFR2,0.37220192345978553
LTP285,scalp,ltpFR2,0.38125884470354793
LTP287,scalp,ltpFR2,0.3753668118250751
LTP290,scalp,ltpFR2,0.3743612394141694
LTP293,scalp,ltpFR2,0.42866101247694804
LTP295,scalp,ltpFR2,0.4047284439468629
LTP296,scalp,ltpFR2,0.44992960288799216
LTP297,scalp,ltpFR2,0.44226701415150393
LTP298,scalp,ltpFR2,0.35168847024865774
LTP299,scalp,ltpFR2,0.39702887164908635
LTP300,scalp,ltpFR2,0.3761860705825313
LTP301,scalp,ltpFR2,0.3977870665378865
LTP302,scalp,ltpFR2,0.39953510829744965
LTP303,scalp,ltpFR2,0.36505167730538934
LTP304,scalp,ltpFR2,0.45684183513069454
LTP305,scalp,ltpFR2,0.40384386303765774
LTP306,scalp,ltpFR2,0.3951906274847885
LTP307,scalp,ltpFR2,0.3550497867784292
LTP308,scalp,ltpFR2,0.29681904436066603
LTP309,scalp,ltpFR2,0.5618466329390885
LTP310,scalp,ltpFR2,0.3246228617159763
