metric,exp_type,comparison,t_stat,p_val,dof,p_val_fdr
H,intracranial,pli,7.058989961589616,7.186246918422363e-12,411,1.0779370377633544e-11
H,intracranial,eli,15.187511187214602,1.3038288229414997e-41,408,1.5645945875297996e-40
H,intracranial,intr,6.707620691777568,6.770853048686674e-11,400,9.027804064915566e-11
H,scalp,pli,8.610787100507515,2.508825081416774e-14,126,5.017650162833548e-14
H,scalp,eli,12.502789792236703,8.002168206012196e-24,126,2.4006504618036588e-23
H,scalp,intr,4.968171781329365,2.1537317321946826e-06,126,2.584478078633619e-06
J,intracranial,pli,3.485083267047653,0.0005449269449713728,411,0.0005449269449713728
J,intracranial,eli,14.78713649375661,6.357047932317877e-40,408,3.814228759390726e-39
J,intracranial,intr,8.589358869400638,1.9768782750306316e-16,400,4.744507860073515e-16
J,scalp,pli,4.739636516974041,5.686221291586077e-06,126,6.203150499912083e-06
J,scalp,eli,15.773742960136909,1.2922089262306304e-31,126,5.1688357049225215e-31
J,scalp,intr,7.884555497285627,1.2941338338135446e-12,126,2.218515143680362e-12
